houston
3b2638ca934ce71085f3cc4ec2b5d660d209ae3d
PRINTMAP houston
http://www.ranker.com/list/famous-kidney-transplant-recipients/david-jones?ref=also_ranked&pos=4&a=0&ltype=n&l=386109&g=2 => 10.126094702708821
http://www.cbsinteractive.com/careers/ => 10.248980700465866
http://www.ranker.com/list/young-patrick-swayze/cari-fortier?ref=collections&pos=139&ltype=l&l=2004732&g=2&collectionId=701 => 10.265710711605468
http://www.ranker.com/list/famous-friends-of-david-archuleta/abbey-grantham?ref=rltdlsts&pos=22&a=2&ltype=l&l=526526&g=2 => 10.305143777092102
http://www.ranker.com/list/best-pageant-drag-queens/brandon-michaels?ref=rltdlsts&pos=15&a=1&ltype=l&l=2447275&g=2 => 10.308877412447336
http://dgmweb.net/Census/Ely/TN/Ely-TN-1850.html => 10.325854819050791
http://www.tmz.com/2015/05/07/robert-durst-peeing-video-cvs-store-candy-counter/ => 10.523689844038156
http://symphonycast.publicradio.org/ => 10.857126453969034
http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001166 => 11.27212544422204
http://www.ranker.com/review/john-bell-williams/1303010?ref=wiki_889508 => 11.603213170881455
https://en.wikipedia.org/wiki/Apollo_program => 18.520769748685204
http://en.wikipedia.org/wiki/Ariana_Grande => 18.548465411259105
http://www.ranker.com/review/whitney-houston/2385097?ref=name_646277 => 18.85278256589422
http://www.ranker.com/review/whitney-houston/2385097?ref=name_688693 => 18.85278256589422
http://www.biographyonline.net/sport/muhammad_ali.html => 18.94319655452344
http://www.ranker.com/review/jennifer-garner/1281378?ref=name_2373426 => 18.95623644458682
https://app.lead411.com/company_Zeebo_Rizzo_372779.html => 19.031165013819773
https://app.lead411.com/company_LettuceLLC_2506019.html => 19.057472284136374
http://www.huffingtonpost.com/entry/sea-level-climate-migrants-united-states_us_591a9e93e4b0809be157a253?ncid=tweetlnkushpmg00000016&section=politics&section=us_theworldpost => 19.100236934638747
http://www.ranker.com/list/the-most-depressing-celebrity-trainwrecks-of-all-time/celebrity-lists?ref=rltdlsts&pos=5&a=8&ltype=l&l=2263202&g=2 => 19.174789936100755
http://www.9news.com/local/politics => 19.291901019666717
http://www.upi.com/topic/Richard_Nixon/ => 19.339267549808458
http://www.upi.com/topic/Richard_Nixon/news/ => 19.339267549808458
http://www.ranker.com/list/notable-film-producer_s)/reference?ref=fact_based&pos=&a=0&lt=n&l=421786 => 19.344231078038263
http://www.ranker.com/list/the-most-depressing-celebrity-trainwrecks-of-all-time/celebrity-lists?ref=rltdlsts&pos=11&a=13&ltype=l&l=2235786&g=2 => 19.488764483342198
http://www.huffingtonpost.com/entry/in-the-fight-for-racial-justice-we-cannot-overlook_us_59024f36e4b084f59b49f760?section=us_green => 19.49035247757967
http://www.ranker.com/list/the-most-depressing-celebrity-trainwrecks-of-all-time/celebrity-lists?ref=rltdlsts&pos=10&a=13&ltype=l&l=2096906&g=2 => 19.491812417038624
http://www.ranker.com/list/the-most-depressing-celebrity-trainwrecks-of-all-time/celebrity-lists?ref=rltdlsts&pos=10&a=13&ltype=l&l=2205485&g=2 => 19.491812417038624
http://www.ranker.com/list/the-most-depressing-celebrity-trainwrecks-of-all-time/celebrity-lists?ref=rltdlsts&pos=5&a=8&ltype=l&l=370812&g=2 => 19.491812417038624
http://www.ranker.com/list/the-most-depressing-celebrity-trainwrecks-of-all-time/celebrity-lists?ref=rltdlsts&pos=11&a=13&ltype=l&l=1453811&g=2 => 19.4919453423426
http://www.ranker.com/list/the-most-depressing-celebrity-trainwrecks-of-all-time/celebrity-lists?ref=rltdlsts&pos=12&a=13&ltype=l&l=494781&g=2 => 19.498231386461832
http://www.ranker.com/list/the-most-depressing-celebrity-trainwrecks-of-all-time/celebrity-lists?ref=rltdlsts&pos=3&a=40&ltype=l&l=1704079&g=2 => 19.498231386461832
http://www.ranker.com/list/notable-film-producer_s)/reference?ref=fact_based&pos=&a=0&lt=n&l=429225 => 19.78590229881918
http://www.ranker.com/list/notable-film-producer_s)/reference?ref=fact_based&pos=&a=0&lt=n&l=463092 => 19.78590229881918
http://articles.chicagotribune.com/2012-11-28/business/sns-rt-us-bp-contractsbre8ar0m1-20121128_1_bp-plc-deepwater-horizon-oil-spill => 19.804528749271828
http://www.ranker.com/list/celebrities-who-have-run-marathons/celebrity-lists?ref=also_ranked&pos=43&a=0&ltype=n&l=1439258&g=2 => 19.91809950868585
http://www.ranker.com/review/phylicia-rashad/1798737?ref=name_593269 => 20.03813450966264
http://www.ranker.com/list/famous-friends-of-rihanna/abbey-grantham?ref=rltdlsts&pos=21&a=2&ltype=l&l=526556&g=2 => 20.045902148696342
http://www.ranker.com/review/travis-scott/74635386?ref=name_2221476 => 20.55343787812998
https://www.facebook.com/places/ => 20.910185831064847
http://www.ranker.com/review/beyoncé/577168?ref=name_646277 => 28.033075993949303
https://en.wikipedia.org/wiki/Jim_Parsons => 28.07718739130703
http://www.ranker.com/review/beyoncé/577168?ref=name_1046365 => 37.37755894328305
http://www.ranker.com/review/beyoncé/577168?ref=name_688693 => 37.37755894328305
https://web.archive.org/web/20060708190606/http://webcast.rice.edu/speeches/19620912kennedy.html => 38.08788101853321
https://web.archive.org/web/20070616054302/http://webcast.rice.edu:80/speeches/19620912kennedy.html => 38.08788101853321
https://en.wikipedia.org/wiki/Effects_of_Hurricane_Katrina_in_New_Orleans => 46.447512109811
http://www.ranker.com/review/beyoncé/577168?ref=name_309706 => 46.723090449047106
http://www.legalnotice.org/pl/chron/landing1.aspx => 47.37651959067752
http://www.yidio.com/show/diners-drive-ins-and-dives?utm_source=Ranker&utm_medium=Display&t_source=64&utm_campaign=tvbuttonROW&utm_term=320616 => 48.647787327275
https://en.wikipedia.org/wiki/Southern_United_States => 55.5623356436801
http://en.wikipedia.org/wiki/George_H._W._Bush => 64.78251714994386
https://en.wikipedia.org/wiki/George_H._W._Bush => 64.78251714994386
http://www.ranker.com/list/houston-tv-actors-from-here/reference?ref=fact_based&pos=&a=0&lt=n&l=880087 => 138.42991697058974
http://www.siteselection.com/issues/2009/mar/top-metros/ => 283.8893415760716
========================
