michael
17b9e1c64588c7fa6419b4d29dc1f4426279ba01
PRINTMAP michael
http://www.ranker.com/list/best-michael-jackson-songs-of-all-time/voteable?ref=nodelyrel&pos=1&a=0&ltype=n&l=1182160&g=2 => 21.115224014987824
http://www.yidio.com/movie/peter-pan/44856?utm_source=Ranker&utm_medium=Display&t_source=64&utm_campaign=moviebuttonROW&utm_term=685594 => 24.421386260384246
http://en.wikipedia.org/wiki/Diane_Lane => 30.018061872130996
http://en.wikipedia.org/wiki/Michael_Vick => 39.722617234029805
http://en.wikipedia.org/wiki/Samuel_L._Jackson => 39.837578490525495
http://www.yidio.com/movie/the+godfather/4439?utm_source=Ranker&utm_medium=Display&t_source=64&utm_campaign=moviebuttonROW&utm_term=1064010 => 44.35057638343028
http://www.yidio.com/movie/the-godfather/4439?utm_source=Ranker&utm_medium=Display&t_source=64&utm_campaign=moviebutton&utm_term=2472947 => 44.35057638343028
http://www.ranker.com/review/michael-caine/142249?ref=name_504946 => 61.00946205438746
http://www.ranker.com/review/michael-caine/142249?ref=name_1871396 => 61.01058321981924
http://www.ranker.com/review/mike-myers/1586135?ref=name_1752553 => 61.82104457269581
http://www.ranker.com/review/michael-palin/1575730 => 65.38108423235698
http://www.ranker.com/review/michael-scott/1576309?ref=name_531165 => 65.38108423235698
http://en.wikipedia.org/wiki/Kirk_Douglas => 79.51117679062817
http://www.yidio.com/movie/my-best-friends-wedding/15544?utm_source=Ranker&utm_medium=Display&t_source=64&utm_campaign=moviebuttonROW&utm_term=1433797 => 147.6650846745944
http://en.wikipedia.org/wiki/The_Jackson_5 => 270.2976449481673
========================
phelps
64b7eeabdc3ba950f032d1c6bf8c9f0ec9682134
PRINTMAP phelps
http://dgmweb.net/Census/Ely/NE/ElyCenTime-NE.html => 17.929702785072347
========================
michael phelps
0d5479090f6588d33681527a9d776a97ae25ae1b
Michael Fred Phelps II (born June 30, 1985) is an American competition swimmer and the most decorated Olympian of all time, with a total of 22 medals in three Olympiads. Phelps also holds the all-time records for Olympic gold medals (18, double the second highest record holders), Olympic gold medals in individual events (11), and Olympic medals in individual events for a male (13). In winning eight gold medals at the 2008 Beijing Games, Phelps took the record away from fellow swimmer Mark Spitz (7) for the most first-place finishes at any single Olympic Games. Five of those victories were in individual events, tying the single Games record. In the 2012 Summer Olympics in London, Phelps won four golds and two silver medals, making him the most successful athlete of the Games for the third O
PRINTMAP michael phelps
http://www.biographyonline.net/sport/100-sporting-personalities.html => 13.342387294277726
http://www.ranker.com/list/athletes-who-lost-endorsements/anncasano?ref=collections&pos=37&ltype=l&l=2180259&g=2&collectionId=1206 => 13.750176836558879
http://www.ranker.com/list/athletes-who-lost-endorsements/anncasano?ref=collections&pos=37&ltype=l&l=2293339&g=2&collectionId=1206 => 13.750176836558879
http://www.thewrap.com/tag/ll_cool_j/ => 13.80837895558655
http://www.ranker.com/list/athletes-who-should-get-a-reality-show/the-round-mound?ref=also_ranked&pos=1&a=0&ltype=l&l=524845&g=1 => 13.916401008314066
http://www.ranker.com/list/ironic-hypothetical-celebrity-deaths/jacob-shelton?ref=also_ranked&pos=41&a=0&ltype=n&l=2141006&g=2 => 14.032895003957021
http://www.ranker.com/list/ironic-hypothetical-celebrity-deaths/jacob-shelton?ref=text_rank&pos=13&a=0&ltype=n&l=713181 => 14.032895003957021
http://www.ranker.com/list/the-worst-snl-hosts-of-all-time/videoport-jones?ref=collections&pos=30&ltype=l&l=839660&g=2&collectionId=384 => 14.379463437306216
http://www.ranker.com/review/lily-donaldson/1448467?ref=name_2187677 => 15.616059253422874
http://www.ranker.com/list/athletes-who-were-bullied/people-in-sports?ref=rltdlsts&pos=17&a=10&ltype=l&l=2390402&g=2 => 42.04093078929035
========================
